Holiday,Date,Beginning of Restriction,End of Restriction
New Year's Day,1/1/2023,12/30/2022,1/1/2023
Dr. Martin Luther King Day,1/16/2023,1/16/2023,1/16/2023
Presidents Day,2/20/2023,2/20/2023,2/20/2023
Memorial Day,5/29/2023,5/26/2023,5/30/2023
Juneteenth,6/19/2023,6/19/2023,6/19/2023
Independence Day,7/4/2023,6/30/2023,7/7/2023
Labor Day / School Starts,9/4/2023,9/1/2023,9/8/2023
Columbus Day,10/9/2023,10/9/2023,10/9/2023
Thanksgiving Day,11/23/2023,11/20/2023,11/27/2023
Christmas Day,12/25/2023,12/22/2023,12/29/2023
New Year's Day,1/1/2024,12/29/2023,1/1/2024
Dr. Martin Luther King Day,1/15/2024,1/15/2024,1/15/2024
Presidents Day,2/19/2024,2/19/2024,2/19/2024
Memorial Day,5/27/2024,5/24/2024,5/28/2024
Juneteenth,6/19/2024,6/19/2024,6/19/2024
Independence Day,7/4/2024,7/1/2024,7/7/2024
Labor Day / School Starts,9/2/2024,8/30/2024,9/6/2024
Columbus Day,10/14/2024,10/14/2024,10/14/2024
Veterans Day,11/11/2024,11/11/2024,11/11/2024
Thanksgiving Day,11/28/2024,11/25/2024,12/2/2024
Christmas Day,12/25/2024,12/20/2024,12/27/2024
New Year's Day,1/1/2025,12/27/2024,1/5/2025
Dr. Martin Luther King Day,1/20/2025,1/20/2025,1/20/2025
Presidents Day,2/17/2025,2/17/2025,2/17/2025
Memorial Day,5/26/2025,5/23/2025,5/27/2025
Juneteenth,6/19/2025,6/19/2025,6/20/2025
Independence Day,7/4/2025,7/3/2025,7/6/2025
Labor Day / School Starts,9/1/2025,8/29/2025,9/5/2025
Columbus Day,10/13/2025,10/13/2025,10/13/2025
Veterans Day,11/11/2025,11/11/2025,11/11/2025
Thanksgiving Day,11/27/2025,11/24/2025,12/1/2025
Christmas Day,12/25/2025,12/20/2025,12/26/2025
New Year's Day,1/1/2026,12/26/2025,1/4/2026
